word,meaning
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
relief,n. 救济；减轻，解除；安慰；浮雕
metaphorical,adj. 比喻性的，隐喻性的
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
disdain,"n. 蔑视
vt. 鄙弃"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
accredit,vt. 授权；信任；委派；归因于
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
satellite,n. 卫星；人造卫星；随从；卫星国家
curiosity,n. 好奇，好奇心；珍品，古董，古玩
evolution,n. 演变；进化论；进展
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
subsidise,vt. 给…津贴或补贴，资助或补助…
furnish,vt. 提供；供应；装备
consolidation,n. 巩固；合并；团结
compel,vt. 强迫，迫使；强使发生
expedient,"n. 权宜之计；应急手段
adj. 权宜的；方便的；有利的"
scholarship,n. 奖学金；学识，学问
ultimately,adv. 最后；根本；基本上
unquestionably,adv. 无可非议地；确凿地
endangered,adj. 濒临灭绝的；有生命危险的
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
sentiment,n. 感情，情绪；情操；观点；多愁善感
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
legislation,n. 立法；法律
verity,n. 真实；真理；事实；真实性
contravene,vt. 抵触；违反；反驳；否认
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
portray,vt. 描绘；扮演
informative,adj. 教育性的，有益的；情报的；见闻广博的
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
eject,vt. 喷射；驱逐，逐出
asylum,n. 庇护；收容所，救济院
pretension,n. 自负；要求；主张；借口；骄傲
delinquency,n. 行为不良，违法犯罪；失职，怠工
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
guilty,adj. 有罪的；内疚的
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
camouflage,"n. 伪装，掩饰
vt. 伪装，掩饰
vi. 伪装起来"
entice,vt. 诱使；怂恿
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
skew,"n. 斜交；歪斜
adj. 斜交的；歪斜的
vt. 使歪斜
vi. 偏离，歪斜；斜视"
radically,adv. 根本上；彻底地；以激进的方式
omit,vt. 省略；遗漏；删除；疏忽
adequate,adj. 充足的；适当的；胜任的
reactive,adj. 反应的；电抗的；反动的
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
legitimacy,n. 合法；合理；正统
decompose,"vi. 分解；腐烂
vt. 分解；使腐烂"
stimulus,n. 刺激；激励；刺激物
fertile,adj. 富饶的，肥沃的；能生育的
indolent,adj. 懒惰的；无痛的
creativity,n. 创造力；创造性
generalisation,n. 一般化;  普通化;  归纳;  概论
on-the-spot,adj. 现场的
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
administrative,adj. 管理的，行政的
viscous,adj. 粘性的；黏的
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
conquest,n. 征服，战胜；战利品
vertebrate,"adj. 脊椎动物的；有脊椎的
n. 脊椎动物"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
whereas,conj. 然而；鉴于；反之
ample,adj. 丰富的；足够的；宽敞的
improvement,n. 改进，改善；提高
swollen,adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
obscurity,n. 朦胧；阴暗；晦涩；身份低微；不分明
overdue,adj. 过期的；迟到的；未兑的
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
preponderance,n. 优势；多数；占优势
property,n. 性质，性能；财产；所有权
irritable,adj. 过敏的；急躁的；易怒的
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
specialisation,n. 特殊化，专门化，特化作用
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
landfill,n. 垃圾填埋地；垃圾堆
mountainous,adj. 多山的；巨大的；山一般的
consolation,n. 安慰；慰问；起安慰作用的人或事物
retrenchment,n. 节省；删除
hygiene,n. 卫生；卫生学；保健法
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
foresight,n. 先见，远见；预见；深谋远虑
visual,adj. 视觉的，视力的；栩栩如生的
functional,adj. 功能的
victimise,vt. 责怪或处罚某人不当（使之受冤或代人受过）; 不正当地使某人受损害或受苦难，欺负某人
penalty,n. 罚款，罚金；处罚
earthwork,n.  土方工程；土木工事
insularity,n. （思想、观点等）偏狭，性僵化；岛国性质（或状态）；岛屿生活状况，与外界隔绝的生活状况
aridity,n. 干旱；乏味
memorise,vt. （英）记忆；存储（等于memorize）
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
inspiration,n. 灵感；鼓舞；吸气；妙计
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
nationality,n. 国籍，国家；民族；部落
alleviate,vt. 减轻，缓和
paramount,"n. 最高统治者
adj. 最重要的，主要的；至高无上的"
variant,"n. 变体；转化
adj. 不同的；多样的"
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
determination,n. 决心；果断；测定
qualitative,adj. 定性的；质的，性质上的
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
dormancy,n.  休眠，冬眠； 蛰伏
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
collude,vi. 勾结；串通；共谋
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
onwards,adv. 向前；在前面
cultivate,vt. 培养；陶冶；耕作
inclined,"v. 使…倾向（incline的过去分词）
adj. 趋向于…的"
facilitate,vt. 促进；帮助；使容易
halve,vt. 二等分；把……减半
casualty,n. 意外事故；伤亡人员；急诊室
tropospheric,adj. 对流层的
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
sinister,adj. 阴险的；凶兆的；灾难性的；左边的
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
facility,n. 设施；设备；容易；灵巧
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
dictation,n. 听写；口述；命令
narrator,n. 叙述者；解说员
constrain,vt. 驱使；强迫；束缚
adjacent,adj. 邻近的，毗连的
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
catastrophic,adj. 灾难的；悲惨的；灾难性的，毁灭性的
infiltrate,"n. 渗透物
vi. 渗入
vt. 使潜入；使渗入，使浸润"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
emotive,adj. 感情的；情绪的；表现感情的
digestion,n. 消化；领悟
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
impede,vt. 阻碍；妨碍；阻止
interpretation,n. 解释；翻译；演出
rigorous,adj. 严格的，严厉的；严密的；严酷的
pamper,vt. 纵容；使…过量；给…吃得过多
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
haphazard,"n. 偶然；偶然事件
adj. 偶然的；随便的；无计划的
adv. 偶然地；随意地"
scenario,n. 方案；情节；剧本；设想
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
recession,n. 衰退；不景气；后退；凹处
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
discrepancy,n. 不符；矛盾；相差
probation,n. 试用；缓刑；查验
sufficient,adj. 足够的；充分的
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
prevailing,"adj. 流行的；一般的，最普通的；占优势的；盛行很广的
v. 盛行，流行（prevail的现在分词形式）；获胜"
instance,"n. 实例；情况；建议
vt. 举...为例"
leadership,n. 领导能力；领导阶层
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
maternal,adj. 母亲的；母性的；母系的；母体遗传的
consecutive,adj. 连贯的；连续不断的
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
perennial,"n. 多年生植物
adj. 多年生的；常年的；四季不断的；常在的；反复的"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
suitable,adj. 适当的；相配的
subtract,vt. 减去；扣掉
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
hazardous,adj. 有危险的；冒险的；碰运气的
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
gullible,adj. 易受骗的；轻信的
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
observation,n. 观察；监视；观察报告
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
newsletter,n. 时事通讯
plagiarise,vt. 剽窃，抄袭
flexibility,n. 灵活性；弹性；适应性
instill,vt. 徐徐滴入；逐渐灌输
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
monologue,n. 独白
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
sentient,"n. 有知觉的人
adj. 有感情的；有感觉力的；意识到的"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
execution,n. 执行，实行；完成；死刑
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
inescapable,adj. 不可避免的；逃脱不了的
rickety,adj. 摇晃的；虚弱的；患佝偻病的
indicator,n. 指示器； 指示剂； 指示符；压力计
tendency,n. 倾向，趋势；癖好
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
photosynthesis,n. 光合作用
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
suicidal,adj. 自杀的，自杀性的；自我毁灭的；自取灭亡的
begrudge,vt. 羡慕，嫉妒；吝惜，舍不得给
tuition,n. 学费；讲授
violation,n. 违反；妨碍，侵害；违背；强奸
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
allergic,adj. 对…过敏的；对…极讨厌的
meagre,adj. 瘦的；贫弱的；贫乏的
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
offspring,n. 后代，子孙；产物
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
flustered,"adj. 慌张的；激动不安的
v. 慌张；混乱（fluster的过去式及过去分词形式）"
ironically,adv. 讽刺地；说反话地
permission,n. 允许，许可
intense,adj. 强烈的；紧张的；非常的；热情的
fortunately,adv. 幸运地
pavement,"n. 人行道
路面"
capsize,"vt. 倾覆（特指船）；翻覆；弄翻
vi. 翻；倾覆；翻覆"
generic,adj. 类的；一般的；属的；非商标的
contempt,n. 轻视，蔑视；耻辱
aptitude,n. 天资；自然倾向；适宜
miscellaneous,adj. 混杂的，各种各样的；多方面的，多才多艺的
industrialisation,n. 工业化
methodology,n. 方法学，方法论
remuneration,n. 报酬；酬劳，赔偿
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
verification,n. 确认，查证；核实
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
alienate,vt. 使疏远，离间；让与
decisive,adj. 决定性的；果断的，坚定的
germinate,"vt. 使发芽；使生长
vi. 发芽；生长"
survival,n. 幸存，残存；幸存者，残存物
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
undergo,vt. 经历，经受；忍受
discomfort,"n. 不适，不安；不便之处
vt. 使……不舒服；使……不安"
variability,n. 可变性，变化性； 变异性
malevolent,adj. 恶毒的；有恶意的；坏心肠的
scamper,"n. 蹦跳；奔跑
vi. 蹦蹦跳跳；奔跑，惊惶奔跑"
utterance,n. 表达；说话；说话方式
opulence,n. 富裕；丰富
inequality,n. 不平等；不同；不平均
reservoir,n. 水库；蓄水池
alight,"adj. 烧着的；点亮着的
vi. 下来；飞落"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
pragmatic,adj. 实际的；实用主义的；国事的
outdo,vt. 超过；胜过
malleable,adj. 可锻的；可塑的；有延展性的；易适应的
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
spectrum,n. 光谱；频谱；范围；余象
philosophy,n. 哲学；哲理；人生观
inventive,adj. 发明的；有发明才能的；独出心裁的
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
therapy,n. 治疗，疗法
imitate,vt. 模仿，仿效；仿造，仿制
detect,vt. 察觉；发现；探测
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
animation,n. 活泼，生气；激励；卡通片绘制
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
triumphant,adj. 成功的；得意洋洋的；狂欢的
mainstream,n. 主流
refugee,n. 难民，避难者；流亡者，逃亡者
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
spawn,"n. 卵；菌丝；产物
vt. 产卵；酿成，造成；大量生产
vi. 产卵；大量生产"
payable,adj. 应付的；到期的；可付的；可获利的
indigenous,adj. 本土的；土著的；国产的；固有的
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
lull,"vt. 使平静；使安静；哄骗
vi. 平息；减弱；停止
n. 间歇；暂停；暂时平静"
exceed,"vt. 超过；胜过
vi. 超过其他"
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
autobiography,n. 自传；自传文学
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
fabrication,n. 制造，建造；装配；伪造物
circumscribe,vt. 外切，外接；限制；在…周围画线
subterranean,"n. 地下工作者
adj. 地下的；秘密的；隐蔽的"
retirement,n. 退休，退役
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
inexperienced,adj. 无经验的；不熟练的
obstacle,n. 障碍，干扰；妨害物
standardise,vt. 使…符合标准；使…标准化；使…统一
gadget,n. 小玩意；小器具；小配件；诡计
feasible,adj. 可行的；可能的；可实行的
elucidate,vt. 阐明；说明
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
inalienable,adj. 不可分割的；不可剥夺的；不能让与的
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
surpass,vt. 超越；胜过，优于；非…所能办到或理解
beneficial,adj. 有益的，有利的；可享利益的
turbulence,n. 骚乱，动荡； 湍流；狂暴
inhibit,vt. 抑制；禁止
scorching,"adj. 灼热的；激烈的；讽刺的；过早硫化的
v. 把…烧焦；严厉批评；切割；过早硫化（scorch的ing形式）"
genuine,adj. 真实的，真正的；诚恳的
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
contaminate,vt. 污染，弄脏
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
prehistoric,adj. 史前的；陈旧的
recruitment,n. 补充；征募新兵
headquarters,n. 总部；指挥部；司令部
instruct,vt. 指导；通知；命令；教授
repetitive,adj. 重复的
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
anatomy,n. 解剖；解剖学；剖析；骨骼
predatory,adj. 掠夺的，掠夺成性的；食肉的；捕食生物的
protrude,"vi. 突出，伸出
vt. 使突出，使伸出"
astonishing,"adj. 惊人的；令人惊讶的
v. 使…惊讶；使…诧异（astonish的ing形式）"
insuperable,adj. 不能克服的；无敌的
unconquerable,adj. 克服不了的；不可征服的；压制不了的
generate,vt. 使形成；发生；生殖；产生物理反应
junction,n. 连接，接合；交叉点；接合点
moderation,n. 适度；节制；温和；缓和
mite,n. 极小量；小虫；小孩儿；微小的东西
speculation,n. 投机；推测；思索；投机买卖
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
antidote,n.  解毒剂；解药；矫正方法
accomplish,vt. 完成；实现；达到
pessimistic,adj. 悲观的，厌世的；悲观主义的
seasonal,adj. 季节的；周期性的；依照季节的
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
incur,vt. 招致，引发；蒙受
notorious,adj. 声名狼藉的，臭名昭著的
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
ailment,n. 小病；不安
variation,n. 变化； 变异，变种
liberate,vt. 解放；放出；释放
undertake,vt. 承担，保证；从事；同意；试图
longevity,n. 长寿，长命；寿命
spectator,n. 观众；旁观者
interval,n. 间隔；间距；幕间休息
inherent,adj. 固有的；内在的；与生俱来的，遗传的
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
autonomy,n. 自治，自治权
soluble,adj.  可溶的，可溶解的；可解决的
abound,vi. 富于；充满
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
miraculous,adj. 不可思议的，奇迹的
undermine,vt. 破坏，渐渐破坏；挖掘地基
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
dredge,"n. 挖泥船，疏浚机；拖捞网
vt. （用挖泥船等）疏浚；（用拖捞网等）捞取；（在食物上）撒（面粉等）
vi. 疏浚，挖掘；采捞"
fabric,n. 织物；布；组织；构造；建筑物
consumption,n. 消费；消耗；肺痨
heartless,adj. 无情的；无勇气的
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
thereby,adv. 从而，因此；在那附近；在那方面
astound,vt. 使惊骇；使震惊
execute,vt. 实行；执行；处死
impair,vt. 损害；削弱；减少
magma,n.  岩浆；糊剂
swivel,"n. 转环；转椅座架
vt. 使旋转
vi. 旋转"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
unpromising,adj. 无前途的，没有希望的
acquire,vt. 获得；取得；学到；捕获
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
elaboration,n. 苦心经营，精巧；详细阐述
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
gallop,"n. 疾驰；飞奔
vi. 飞驰；急速进行；急急忙忙地说
vt. 使飞跑；迅速运输"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
downturn,n. 衰退（经济方面）；低迷时期
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
disintegration,n. 瓦解，崩溃；分解
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
calcium,n.  钙
interplay,"n. 相互影响，相互作用
vi. 相互影响，相互作用"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
precipitation,n.  沉淀， 沉淀物；降水；冰雹；坠落；鲁莽
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
indefinitely,adv. 不确定地，无限期地；模糊地，不明确地
deduce,vt. 推论，推断；演绎出
await,vt. 等候，等待；期待
vigorous,adj. 有力的；精力充沛的
glacier,n. 冰河，冰川
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
venue,n. 审判地；犯罪地点；发生地点；集合地点
